accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
2,1.0,1.0,1,1,1.0,52.3639894862,4.9294511531000005,4,6,2.645984442758613,1,0,1,0,0
5,1.0,2.0,1,2,1.0,52.3641304916,4.9269430067,1,2,2.5068533687069188,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3652250403,4.8619613215,2,6,2.978317062605478,1,0,1,0,0
1,1.0,1.0,10,1,11.0,52.3717521891,4.8653397023,28,4,2.4559753769504504,1,0,0,1,0
3,1.0,1.0,1,2,1.0,52.3891522964,4.8894070167,2,0,1.2992641177337378,1,0,1,0,0
4,2.0,3.0,1,4,1.0,52.3713386065,4.9441655551,4,0,3.1577090787703783,1,0,1,0,0
3,1.0,2.0,1,3,2.0,52.3590574279,4.876319635,4,1,2.731971598799246,1,0,1,0,0
4,1.5,2.0,1,1,1.0,52.3543500373,4.9910523309,3,2,6.802045866600833,1,0,1,0,0
2,1.0,1.0,1,2,1.0,52.367632133,4.9458658063000005,2,12,3.4020066419534554,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3466863821,4.898475603,4,2,3.6124389268741344,1,0,1,0,0
2,1.5,1.0,1,1,1.0,52.3689069863,4.8747373912,1,2,2.0278183394071903,1,0,0,1,0
1,1.0,1.0,1,1,1.0,52.323836059,4.9627450994,1,16,7.5036741627906185,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3586231502,4.9227464245,3,2,2.779489073025703,0,1,1,0,0
2,1.0,1.0,1,1,1.0,52.3617961896,4.8812232278,2,4,2.2938478016736106,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3569383456,4.8874931371,12,25,2.6019004978146247,1,0,1,0,0
3,1.0,1.0,1,2,1.0,52.3603012986,4.9270709297,2,3,2.8146529903775446,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3670028982,4.9255597132,1,5,2.2307331552076484,1,0,0,1,0
4,1.0,2.0,1,2,1.0,52.3629751469,4.8672066969,2,34,2.833081264960003,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3682106154,4.9416710804,4,5,3.11456306026183,1,0,1,0,0
2,1.0,1.0,1,2,1.0,52.3701375126,4.8928407735,5,50,1.1007355848002458,1,0,1,0,0
4,1.5,2.0,3,2,3.0,52.3735909663,4.8772012369,2,0,1.6313084102450301,1,0,1,0,0
2,1.5,1.0,11,2,22.0,52.3825563792,4.8897209577,7,21,0.7575260968478079,1,0,1,0,0
2,1.0,1.0,6,1,6.0,52.3771988253,4.8744710335,3,31,1.707565558375031,1,0,0,1,0
2,1.5,1.0,3,2,3.0,52.3668513289,4.8821419779,3,11,1.8043094373283324,1,0,0,1,0
2,1.0,1.0,13,1,13.0,52.3426767154,4.8438952484,2,1,5.537738755760952,1,0,0,1,0
2,1.0,1.0,2,1,2.0,52.3610825309,4.9357373248,2,0,3.180635530798191,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3652647728,4.8680719514,3,55,2.6307297173885367,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.365708201,4.9071936453,2,6,1.5879342476192724,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3614863244,4.8758535449,2,17,2.5355295641615276,1,0,0,1,0
2,1.0,1.0,2,1,2.0,52.3734297389,4.8997274705,1,0,0.6403144826342616,1,0,0,1,0
4,1.0,2.0,2,1,2.0,52.3704216312,4.8921056306,3,19,1.093701179580794,1,0,1,0,0
3,1.0,1.0,1,2,1.0,52.368998828,4.9387138598,3,2,2.8956379443532416,1,0,1,0,0
3,1.0,1.0,1,2,1.0,52.3684570569,4.934156886,5,26,2.640552296186063,1,0,1,0,0
1,1.0,1.0,1,1,1.0,52.3261099262,4.8817288088,3,1,6.019554199565197,0,1,0,1,0
4,1.0,1.0,1,2,1.0,52.3707767772,4.8568504502,2,23,3.0361931110580618,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3680494067,4.8558596751,3,56,3.204739366800281,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3575868164,4.912887775,1,4,2.5683239183211657,1,0,1,0,0
4,1.0,1.0,2,2,2.0,52.3645651995,4.8639064660999995,3,21,2.906862652099856,0,1,1,0,0
5,2.5,3.0,1,1,1.0,52.3597395572,4.7956513431,4,0,7.365621721146845,0,1,1,0,0
2,1.0,1.0,3,1,3.0,52.3658467312,4.87773086,2,7,2.0894428332399992,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3617348494,4.8653062753,2,0,3.020362138597274,1,0,1,0,0
2,1.5,1.0,2,1,3.0,52.3281581167,4.8853816534,1,0,5.7504287673147285,1,0,0,1,0
4,2.0,2.0,1,1,1.0,52.3611561991,4.8752948169,6,0,2.58792034954159,1,0,1,0,0
2,1.0,1.0,2,1,2.0,52.3761657081,4.8921167859,3,0,0.5992150877967892,1,0,0,1,0
2,1.0,1.0,2,1,2.0,52.3537601089,4.9312668185,2,3,3.55689247628185,1,0,0,1,0
2,1.0,1.0,1,2,1.0,52.3624527788,4.8665376498,2,1,2.9050822868232173,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3742239011,4.8765534909,2,4,1.6471294957588347,1,0,1,0,0
4,1.0,2.0,20,2,24.0,52.3454898193,4.8591054261,3,2,4.638122354690352,1,0,1,0,0
4,1.0,2.0,1,2,1.0,52.3597940161,4.849913136,2,3,3.9916325271477673,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3648927109,4.9356698876,4,19,2.927253686974243,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3840326761,4.8484104209000005,1,17,3.5023691072873073,0,1,0,1,0
4,1.0,2.0,1,3,2.0,52.3925698501,4.9137882412,2,29,1.777424872500949,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3787042186,4.8909507283,3,5,0.5777744661621639,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3491702272,4.8483669291,21,0,4.8098437688214055,1,0,1,0,0
4,1.5,1.0,1,2,1.0,52.3714916636,4.9049238146,2,16,0.9330111189455034,1,0,1,0,0
3,1.0,2.0,1,2,1.0,52.36845328,4.8604753618,2,0,2.899646222601849,1,0,1,0,0
2,1.0,0.0,1,1,1.0,52.3707325248,4.9286076588,7,13,2.1911178428317495,1,0,1,0,0
2,1.5,1.0,1,1,1.0,52.3674472294,4.9109732404,2,0,1.5217453590574377,1,0,1,0,0
4,2.0,1.0,1,2,1.0,52.3735385061,4.8735663982,4,28,1.8635916399280805,1,0,1,0,0
7,2.0,3.0,1,1,1.0,52.3646125291,4.9265657733,10,0,2.4521381821917383,1,0,1,0,0
2,1.5,1.0,3,1,3.0,52.3545297899,4.9107451421,1,13,2.84576501459145,1,0,0,1,0
2,1.0,1.0,1,2,1.0,52.3706168626,4.9297447272,2,18,2.2664194826855417,1,0,1,0,0
2,1.0,1.0,2,1,2.0,52.3806966183,4.8893452194,1,59,0.7043656242536996,0,1,0,1,0
4,1.5,2.0,45,2,47.0,52.3435725777,4.896284702,2,9,3.9636339251943027,0,1,1,0,0
2,1.0,0.0,1,2,1.0,52.3620847992,4.874506349,1,28,2.544096086126518,1,0,1,0,0
6,1.0,3.0,1,4,1.0,52.3180616359,4.9433856592000005,1,40,7.419191759061535,1,0,1,0,0
3,1.0,1.0,1,2,1.0,52.3669154394,4.9392098106,3,24,3.0238162133050785,1,0,1,0,0
2,1.5,1.0,1,1,1.0,52.3621292624,4.851974216,1,5,3.73646909993099,1,0,1,0,0
4,2.0,2.0,1,1,1.0,52.3596518428,4.8891345652,5,0,2.2806998551665303,0,1,1,0,0
