price
160.0
120.0
99.0
100.0
175.0
119.0
200.0
99.0
225.0
63.0
130.0
129.0
150.0
205.0
69.0
160.0
90.0
129.0
240.0
159.0
120.0
259.0
150.0
350.0
120.0
95.0
125.0
82.0
129.0
49.0
90.0
125.0
360.0
150.0
140.0
95.0
299.0
99.0
96.0
120.0
100.0
90.0
100.0
95.0
100.0
225.0
100.0
80.0
200.0
164.0
189.0
180.0
87.0
109.0
115.0
245.0
165.0
150.0
58.0
150.0
95.0
200.0
95.0
141.0
90.0
70.0
120.0
99.0
175.0
189.0
119.0
106.0
100.0
80.0
300.0
74.0
120.0
129.0
75.0
180.0
200.0
255.0
70.0
99.0
95.0
120.0
160.0
189.0
150.0
165.0
130.0
100.0
120.0
65.0
80.0
49.0
110.0
99.0
185.0
165.0
89.0
125.0
100.0
25.0
225.0
150.0
250.0
220.0
317.0
119.0
95.0
30.0
84.0
225.0
95.0
150.0
55.0
232.0
95.0
200.0
179.0
100.0
89.0
250.0
85.0
60.0
120.0
140.0
120.0
75.0
180.0
110.0
75.0
50.0
200.0
68.0
159.0
129.0
140.0
70.0
80.0
49.0
300.0
168.0
80.0
123.0
200.0
95.0
150.0
80.0
62.0
115.0
125.0
65.0
225.0
209.0
80.0
150.0
149.0
279.0
99.0
130.0
99.0
99.0
97.0
105.0
90.0
48.0
285.0
250.0
80.0
130.0
70.0
59.0
120.0
109.0
150.0
100.0
80.0
115.0
280.0
120.0
97.0
85.0
41.0
125.0
120.0
79.0
75.0
120.0
275.0
159.0
150.0
150.0
78.0
130.0
140.0
80.0
180.0
120.0
90.0
99.0
95.0
70.0
120.0
109.0
90.0
150.0
129.0
150.0
90.0
75.0
120.0
70.0
75.0
100.0
95.0
230.0
150.0
76.0
320.0
105.0
84.0
75.0
50.0
285.0
140.0
150.0
150.0
105.0
225.0
98.0
125.0
60.0
120.0
62.0
418.0
100.0
300.0
140.0
120.0
250.0
99.0
75.0
200.0
169.0
125.0
69.0
90.0
155.0
137.0
109.0
96.0
133.0
105.0
129.0
90.0
118.0
70.0
109.0
71.0
100.0
95.0
150.0
100.0
65.0
175.0
120.0
100.0
120.0
84.0
149.0
85.0
100.0
69.0
40.0
65.0
125.0
149.0
137.0
97.0
200.0
55.0
140.0
50.0
220.0
89.0
60.0
59.0
129.0
65.0
120.0
200.0
360.0
150.0
160.0
85.0
129.0
150.0
76.0
46.0
75.0
96.0
125.0
90.0
140.0
120.0
150.0
150.0
75.0
200.0
90.0
120.0
97.0
129.0
190.0
52.0
94.0
99.0
74.0
80.0
120.0
180.0
85.0
125.0
100.0
112.0
90.0
60.0
250.0
69.0
150.0
